1143797141,78974
58,2854128490841
2118794785,09647
11296238969353
1,50220823853198E+15
4,7469572362881E+16
6,88537971571423E+17
6,11511974041889E+18
3,87374073301353E+19
1,91662105051451E+20
7,8525386010421E+20
2,7724826153193E+21
8,67873295847146E+21
2,45970735386727E+22
6,41309343385807E+22
1,55734573258606E+23
3,55711227349335E+23
7,70265922578697E+23
1,59156506381883E+24
3,15483378417602E+24
6,02624647553394E+24
1,11348751444102E+25
1,99664118186197E+25
3,48419521867463E+25
5,93120154708089E+25
9,87043991886319E+25
1,60874668423353E+26
2,57220322427286E+26
4,04034256236698E+26
6,24290356253696E+26
9,49974277589135E+26
1,42509601574225E+27
2,10954820246718E+27
3,08400555104348E+27
4,45609700515067E+27
6,36812339444776E+27
9,00664028670057E+27
1,26142788012451E+28
1,75042369953412E+28
2,40779416712094E+28
3,28464557297304E+28
4,44562902049622E+28
5,97203735761619E+28
7,96550346322889E+28
1,05523969857173E+29
1,38890292849266E+29
1,8167790256486E+29
2,36243560094437E+29
3,05461231205221E+29
3,92820435007209E+29
5,02540538864497E+29
6,39703157160573E+29
8,10405047860304E+29
1,02193415716057E+30
1,28297174009838E+30
1,60382378504611E+30
1,99668529387042E+30
2,4759413185107E+30
3,05850903023898E+30
3,76422550133454E+30
4,61628631182992E+30
5,64174055789501E+30
6,87204833490294E+30
8,34370729889619E+30
1,00989554767221E+31
1,21865580992594E+31
1,46626868756912E+31
1,75919008115168E+31
2,10482384008148E+31
2,51164317960974E+31
2,98932543789061E+31
3,54890140231247E+31
4,20292052628959E+31
4,9656334550167E+31
5,85319338154196E+31
6,88387786313153E+31
8,0783328425073E+31
9,45984073937473E+31
1,10546146049562E+32
1,28921204662541E+32
1,50054301277328E+32
1,74316068462904E+32
2,02121264510382E+32
2,33933366428008E+32
2,70269573796451E+32
3,11706254344286E+32
3,58884863986076E+32
4,12518376036436E+32
4,73398256375908E+32
5,42402023501296E+32
6,2050143464739E+32
7,08771341521744E+32
8,08399261652618E+32
9,20695713915305E+32
1,04710536947743E+33
1,18921907219228E+33
1,34878678537447E+33
1,52773152491775E+33
1,72816434186308E+33
1,95240042080162E+33
2,20297636390272E+33
2,48266873389841E+33
2,79451393303328E+33
3,14182949880891E+33
3,52823690131687E+33
3,95768593106815E+33
4,43448077049384E+33
4,96330784671564E+33
5,54926556776897E+33
6,19789604921084E+33
6,91521894296207E+33
7,70776748532484E+33
8,58262688638371E+33
9,54747518844777E+33
1,06106267268255E+34
1,17810783320484E+34
1,30685584186778E+34
1,44835791120455E+34
1,60374915706981E+34
1,77425446689434E+34
1,96119472107335E+34
2,1659933853176E+34
2,39018349252401E+34
2,63541503347261E+34
2,90346277642995E+34
3,19623453653555E+34
3,51577991666904E+34
3,86429954234041E+34
4,24415481401602E+34
4,65787820118869E+34
5,10818410342125E+34
5,59798030454127E+34
6,13038004713894E+34
6,70871475552286E+34
7,33654743631805E+34
8,01768678694953E+34
8,75620204334204E+34
9,55643859928361E+34
1,04230344310477E+35
1,13609373620458E+35
1,23754232034917E+35
1,34721148082979E+35
1,46570020766963E+35
1,59364629533832E+35
1,73172854573221E+35
1,8806690786713E+35
2,04123575430417E+35
2,21424471195627E+35
2,40056303010475E+35
2,60111151231383E+35
2,81686760412008E+35
3,04886844601497E+35
3,29821406783484E+35
3,56607073003415E+35
3,85367441748814E+35
4,16233449164478E+35
4,49343750702377E+35
4,84845119824242E+35
5,2289286439339E+35
5,63651261411409E+35
6,07294010774685E+35
6,54004708745688E+35
7,0397734185419E+35
7,57416801964311E+35
8,14539423264495E+35
8,75573541959136E+35
9,407600794626E+35
1,01035314991903E+36
1,08462069289419E+36
1,16384513210928E+36
1,24832406111029E+36
1,33837095679132E+36
1,43431592171478E+36
1,53650645619719E+36
1,64530826115492E+36
1,76110607273084E+36
1,88430452974961E+36
2,01532907507706E+36
2,15462689198675E+36
2,30266787666555E+36
2,45994564801908E+36
2,62697859596734E+36
